9.925, 12.15, 2
8.175, 12.05, 2
7.475, 11.45, 2
6.325, 10.8, 2
5.175, 10.1, 2
4.325, 9.55, 2
3.775, 8.25, 2
3.425, 7.2, 2
3.275, 5.85, 2
3.325, 5.2, 2
3.475, 4.15, 2
4.375, 2.95, 2
5.125, 2.85, 2
5.675, 3.85, 2
5.775, 6, 2
7.025, 8, 2
9.525, 8.6, 2
10.375, 7, 2
8.725, 5.05, 2
9.475, 2.8, 2
11.925, 4.4, 2
11.425, 7.1, 2
12.625, 8.5, 2
13.675, 5.95, 2
11.825, 4.65, 2
9.875, 3.45, 2
11.025, 2.3, 2
10.225, 5.15, 2
7.925, 5.4, 2
7.375, 3.4, 2
6.375, 3.15, 2
7.325, 6.45, 2
7.275, 7.25, 2
6.175, 5.2, 2
4.475, 4.45, 2
5.075, 6.85, 2
7.425, 8.45, 2
7.725, 10.5, 2
9.775, 9.75, 2
9.175, 6.95, 2
14.325, 8.7, 2
12.075, 12.25, 2
10.775, 14.85, 2
5.775, 15.15, 2
6.425, 12.05, 2
3.525, 11.1, 2
3.075, 15, 2
2.025, 10, 2
2.825, 5.25, 2
4.075, 4, 2
3.975, 10.05, 2
6.025, 12.55, 2
4.725, 14.45, 2
3.875, 11.45, 2
2.525, 8.95, 2
4.275, 6.5, 2
7.725, 12.55, 2
9.775, 13.5, 2
10.675, 10.35, 2
10.875, 8.9, 2
13.775, 10.1, 2
13.875, 5.35, 2
14.675, 3.75, 2
12.925, 2.7, 2
12.675, 6.6, 2
12.175, 9.45, 2
13.375, 4.7, 2
8.325, 2.45, 2
7.875, 1.1, 2
4.575, 5.15, 2
4.675, 10.35, 2
8.325, 9.75, 2
15.075, 1.45, 2
15.425, 2.7, 2
15.925, 4.85, 2
15.975, 7.15, 2
15.575, 10, 2
15.125, 14.6, 2
13.725, 16.7, 2
12.275, 18.3, 2
8.325, 19.75, 2
5.275, 19.6, 2
2.475, 18.6, 2
5.275, 15.1, 2
9.975, 17.3, 2
11.925, 14.05, 2
5.675, 14.2, 2
3.575, 10.6, 2
6.275, 13.9, 2
2.575, 14.8, 2
7.225, 17.15, 2
5.925, 15.5, 2
9.225, 14.4, 2
8.225, 15.9, 2
6.375, 17, 2
3.875, 17.1, 2
3.425, 13.65, 2
2.775, 11.75, 2
3.525, 12.75, 2
5.525, 11.45, 2
4.775, 14.35, 2
5.025, 17, 2
6.025, 18.55, 2
2.975, 15.45, 2
2.575, 16.2, 2
9.125, 17, 2
10.775, 15.5, 2
11.875, 14.55, 2
13.475, 15.65, 2
14.175, 11.95, 2
14.425, 10.6, 2
12.725, 6.95, 2
12.625, 9.75, 2
12.725, 10.8, 2
9.425, 12.8, 2
9.675, 15.1, 2
12.075, 16.05, 2
7.975, 15.65, 2
7.875, 13.8, 2
8.175, 14.45, 2
4.225, 8.55, 2
7.175, 7.75, 2
5.975, 9.65, 2
6.075, 6.9, 2
6.325, 7.4, 2
6.025, 8.25, 2
9.325, 9.75, 2
9.975, 11, 2
9.225, 10.7, 2
9.675, 10.8, 2
8.775, 6.45, 2
8.425, 7.9, 2
8.725, 7.8, 2
10.725, 8.3, 2
11.825, 7.8, 2
13.975, 7.75, 2
12.975, 5.25, 2
12.075, 5.2, 2
11.475, 6.1, 2
10.775, 3.25, 2
7.475, 4.3, 2
8.725, 4.05, 2
4.025, 1.8, 2
5.975, 3.75, 2
3.625, 8.55, 2
31.375, 7.95, 5
31.375, 8.15, 5
31.975, 11.15, 5
33.425, 13.2, 5
31.875, 15.95, 5
30.475, 15.65, 5
30.375, 10.65, 5
30.325, 7.6, 5
28.475, 9.05, 5
30.325, 13.9, 5
29.525, 15.7, 5
31.275, 13.2, 5
30.225, 11.1, 5
31.525, 6.25, 5
33.775, 3.75, 5
39.275, 7.15, 5
41.125, 8.3, 5
41.575, 3.5, 5
37.275, 2.15, 5
37.175, 6.2, 5
40.875, 11.55, 5
38.775, 13.25, 5
38.175, 6.85, 5
35.425, 9.25, 5
38.625, 11.6, 5
36.975, 7.25, 5
34.175, 3.75, 5
30.625, 3.1, 5
28.925, 1.6, 5
26.875, 5, 5
27.375, 6.7, 5
27.425, 4.65, 5
29.575, 5.55, 5
30.025, 3.2, 5
28.275, 2.15, 5
33.725, 2.8, 5
33.175, 1.6, 5
36.725, 1.55, 5
39.525, 3.3, 5
40.125, 3.7, 5
38.975, 4.5, 5
39.375, 7.7, 5
34.875, 6.25, 5
35.775, 4, 5
33.925, 7.4, 5
33.275, 3.2, 5
33.825, 5.9, 5
32.875, 5.7, 5
32.525, 4.9, 5
32.375, 10.25, 5
33.925, 9.8, 5
35.225, 10.2, 5
35.075, 8, 5
33.925, 9.6, 5
32.325, 8.55, 5
33.025, 8.15, 5
30.325, 10.9, 5
29.625, 9.9, 5
29.925, 10.9, 5
28.175, 12.25, 5
32.575, 8.15, 5
33.725, 11.6, 5
39.175, 11.2, 5
36.925, 9.9, 5
38.325, 7.4, 5
38.525, 10.15, 5
37.475, 11.9, 5
35.775, 14.3, 5
35.325, 13.65, 5
37.125, 14, 5
34.025, 12.15, 5
36.575, 12.3, 5
33.125, 15.35, 5
33.825, 15.45, 5
34.275, 14.6, 5
32.075, 12.9, 5
